Time,X_vel_uav,Y_vel_uav,Z_vel_uav,yaw_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,yaw_cmd_vel
92025964382,-0.282,-0.219,-0.0349999999999999,0.0043557644821703,0.0,-0.0,-0.0,0.0
92077098520,-0.282,-0.219,-0.0349999999999999,0.0043557644821703,0.0,-0.0,-0.0,0.0
92128948568,-0.204,-0.156,-0.005,0.0026661469601094,0.0,-0.0,-0.0,0.0
92172680737,-0.204,-0.156,-0.005,0.0026661469601094,0.0,-0.0,-0.0,0.0
92216981785,-0.204,-0.156,-0.005,0.0076925246976315,0.0,-0.0,-0.0,0.0
92260635870,-0.204,-0.156,-0.005,0.0076925246976315,0.0,-0.0,-0.0,0.0
92304672091,-0.155,-0.102,0.017,-0.0013351639499887,0.0,-0.0,-0.0,0.0
92348658928,-0.155,-0.102,0.017,-0.0013351639499887,0.0,-0.0,-0.0,0.0
92392632945,-0.155,-0.102,0.017,0.003020447678864,0.0,-0.0,-0.0,0.0
92436642672,-0.155,-0.102,0.017,0.003020447678864,0.0,-0.0,-0.0,0.0
92485701825,-0.125,-0.073,0.026,0.0078244796022772,0.0,-0.0,-0.0,0.0
92536747921,-0.125,-0.073,0.026,0.0078244796022772,0.0,-0.0,-0.0,0.0
92588123399,-0.125,-0.073,0.026,0.0069997902028262,0.0,-0.0,-0.0,0.0
92638092366,-0.125,-0.073,0.026,0.0069997902028262,0.0,-0.0,-0.0,0.0
92690284062,-0.062,-0.046,0.031,0.0055218604393303,0.0,-0.0,-0.0,0.0
92740062678,-0.062,-0.046,0.031,0.0055218604393303,0.0,-0.0,-0.0,0.0
92794226478,-0.062,-0.046,0.031,0.0073901545256376,0.0,-0.0,-0.0,0.0
92842951871,-0.062,-0.046,0.031,0.0073901545256376,0.0,-0.0,-0.0,0.0
92894743352,0.001,-0.003,0.024,0.0020850347355008,0.0,-0.0,-0.0,0.0
92944929113,0.001,-0.003,0.024,0.0020850347355008,0.0,-0.0,-0.0,0.0
92996838545,0.001,-0.003,0.024,0.0062837111763656,0.0,-0.0,-0.0,0.0
93046890245,0.001,-0.003,0.024,0.0062837111763656,0.0,-0.0,-0.0,0.0
93098766607,0.008,-0.005,0.024,0.001460712053813,0.0,-0.0,-0.0,0.0
93149100725,0.008,-0.005,0.024,0.001460712053813,0.0,-0.0,-0.0,0.0
93201615886,0.008,-0.005,0.024,0.0055203093215823,0.0,-0.0,-0.0,0.0
93250791485,0.008,-0.005,0.024,0.0055203093215823,0.0,-0.0,-0.0,0.0
93303726100,0.008,-0.018,0.015,-0.0060774120502173,0.0,-0.0,-0.0,0.0
93354768926,0.008,-0.018,0.015,-0.0060774120502173,0.0,-0.0,-0.0,0.0
93405388486,0.008,-0.018,0.015,-0.0020769508555531,0.0,-0.0,-0.0,0.0
93456113448,0.008,-0.018,0.015,-0.0020769508555531,0.0,-0.0,-0.0,0.0
93506848964,0.016,-0.018,0.006,0.0079602822661399,0.0,-0.0,-0.0,0.0
93557913551,0.016,-0.018,0.006,0.0079602822661399,0.0,-0.0,-0.0,0.0
93609124580,0.016,-0.018,0.006,0.0044961576350033,0.0,-0.0,-0.0,0.0
93658758986,0.016,-0.018,0.006,0.0044961576350033,0.0,-0.0,-0.0,0.0
93710825127,0.019,-0.0289999999999999,-0.0,0.0085085751488804,0.0,-0.0,-0.0,0.0
