Time,X Position,Y Position,Z Position,yaw
1694456522946259466,0.0,0.002,-0.007000000000000001,-0.003591996617615223
1694456522993869252,0.0,0.002,-0.007000000000000001,-0.003591996617615223
1694456523047513472,-0.003,-0.003,-0.017,0.0037630232982337475
1694456523095917359,-0.003,-0.003,-0.017,0.0037630232982337475
1694456523149596356,-0.003,-0.003,-0.017,0.004741951823234558
1694456523197505564,-0.003,-0.003,-0.017,0.004741951823234558
1694456523250380508,0.003,-0.020999999999999998,-0.032,-0.005582968704402447
1694456523299764554,0.003,-0.020999999999999998,-0.032,-0.005582968704402447
1694456523351808529,0.003,-0.020999999999999998,-0.032,-0.0008604666218161583
1694456523401652564,0.003,-0.020999999999999998,-0.032,-0.0008604666218161583
1694456523454178258,0.011,-0.017,-0.047,-0.0054865144193172455
1694456523504004946,0.011,-0.017,-0.047,-0.0054865144193172455
1694456523556107772,0.011,-0.017,-0.047,0.0024757124483585358
1694456523607747737,0.011,-0.017,-0.047,0.0024757124483585358
1694456523657863325,0.001,-0.016,-0.038,0.007284400053322315
1694456523710995135,0.001,-0.016,-0.038,0.007284400053322315
1694456523761362811,0.001,-0.016,-0.038,-0.004453633446246386
1694456523812894225,0.001,-0.016,-0.038,-0.004453633446246386
1694456523863760181,0.001,-0.012,-0.034,-0.0012655324535444379
1694456523914344388,0.001,-0.012,-0.034,-0.0012655324535444379
1694456523964563413,0.001,-0.012,-0.034,0.0017645673360675573
1694456524014637259,0.001,-0.012,-0.034,0.0017645673360675573
1694456524067617223,0.006,-0.023,-0.040999999999999995,-0.0016126490663737059
1694456524123375898,0.006,-0.023,-0.040999999999999995,-0.0016126490663737059
1694456524170875480,0.006,-0.023,-0.040999999999999995,0.0045511145144701
1694456524226825740,0.006,-0.023,-0.040999999999999995,0.0045511145144701
1694456524271317246,0.008,-0.026000000000000002,-0.047,-0.010327890515327454
1694456524320894357,0.008,-0.026000000000000002,-0.047,-0.010327890515327454
1694456524376478447,0.008,-0.026000000000000002,-0.047,-0.002591960597783327
1694456524429640485,0.008,-0.026000000000000002,-0.047,-0.002591960597783327
1694456524485615269,0.005,-0.02,-0.053000000000000005,-0.00941038690507412
1694456524536198157,0.005,-0.02,-0.053000000000000005,-0.00941038690507412
1694456524604146975,0.005,-0.02,-0.053000000000000005,-0.0030738534405827522
1694456524647002294,0.005,-0.02,-0.053000000000000005,-0.0030738534405827522
1694456524694878209,0.001,0.081,-0.06899999999999999,0.007063431665301323
1694456524694899121,0.001,0.081,-0.06899999999999999,0.007063431665301323
1694456524742921259,0.001,0.081,-0.06899999999999999,0.0019646245054900646
1694456524785277325,0.001,0.081,-0.06899999999999999,0.0019646245054900646
1694456524834595011,-0.015,0.28900000000000003,-0.062,0.01078010257333517
1694456524885407816,-0.015,0.28900000000000003,-0.062,0.01078010257333517
1694456524937100077,-0.015,0.28900000000000003,-0.062,0.015239177271723747
1694456524987587656,-0.015,0.28900000000000003,-0.062,0.015239177271723747
1694456525039221292,-0.024,0.441,-0.043,-0.0027812982443720102
1694456525089492128,-0.024,0.441,-0.043,-0.0027812982443720102
1694456525140783326,-0.024,0.441,-0.043,0.015197716653347015
1694456525190731977,-0.024,0.441,-0.043,0.015197716653347015
1694456525242849815,-0.034,0.636,-0.019,0.0023596661631017923
1694456525293770385,-0.034,0.636,-0.019,0.0023596661631017923
1694456525346256398,-0.034,0.636,-0.019,0.008186109364032745
1694456525397045209,-0.034,0.636,-0.019,0.008186109364032745
1694456525450233764,-0.028999999999999998,0.7809999999999999,-0.003,-0.011148719117045403
1694456525500943092,-0.028999999999999998,0.7809999999999999,-0.003,-0.011148719117045403
1694456525552526371,-0.028999999999999998,0.7809999999999999,-0.003,-0.020139528438448906
1694456525602779985,-0.028999999999999998,0.7809999999999999,-0.003,-0.020139528438448906
1694456525654264417,-0.023,0.899,0.006,0.0024675936438143253
1694456525705039812,-0.023,0.899,0.006,0.0024675936438143253
1694456525756170662,-0.023,0.899,0.006,0.0026626524049788713
1694456525806952992,-0.023,0.899,0.006,0.0026626524049788713
1694456525858166479,-0.022,0.975,0.025,-0.0019221289549022913
1694456525909809860,-0.022,0.975,0.025,-0.0019221289549022913
1694456525962325247,-0.022,0.975,0.025,-0.001641799695789814
1694456526014712238,-0.022,0.975,0.025,-0.001641799695789814
1694456526064397646,-0.022,1.0150000000000001,0.027000000000000003,0.007636880502104759
1694456526115049815,-0.022,1.0150000000000001,0.027000000000000003,0.007636880502104759
1694456526166443497,-0.022,1.0150000000000001,0.027000000000000003,-0.007614086847752333
1694456526216591703,-0.022,1.0150000000000001,0.027000000000000003,-0.007614086847752333
1694456526268295306,-0.020999999999999998,1.057,0.044,-0.0019547026604413986
1694456526318621760,-0.020999999999999998,1.057,0.044,-0.0019547026604413986
1694456526370596991,-0.020999999999999998,1.057,0.044,-0.005920480005443096
1694456526420846035,-0.020999999999999998,1.057,0.044,-0.005920480005443096
1694456526472005379,-0.013000000000000001,1.09,0.06,0.0015688088024035096
1694456526523258951,-0.013000000000000001,1.09,0.06,0.0015688088024035096
1694456526574536676,-0.013000000000000001,1.09,0.06,-0.005835677031427622
1694456526624708992,-0.013000000000000001,1.09,0.06,-0.005835677031427622
1694456526676956751,-0.012,1.1119999999999999,0.06899999999999999,-0.009585567750036716
1694456526722902264,-0.012,1.1119999999999999,0.06899999999999999,-0.009585567750036716
1694456526779817902,-0.012,1.1119999999999999,0.06899999999999999,-0.012555346824228764
1694456526831301815,-0.023,1.1199999999999999,0.08399999999999999,-0.007969250902533531
