Time,X_vel_uav,Y_vel_uav,Z_vel_uav,yaw_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,yaw_cmd_vel
1694709595.8374076,-0.041999999999999996,0.025,0.006,-0.013051535934209824,0,0,0,0
1694709595.9395864,-0.041999999999999996,0.025,0.006,-0.04069049283862114,0,0,0,0
1694709595.9406805,-0.041999999999999996,0.025,0.006,-0.04069049283862114,0,0,0,0
1694709595.99236,-0.015,0.031,-0.001,-0.0025778182316571474,0,0,0,0
1694709596.0415144,-0.015,0.031,-0.001,-0.0025778182316571474,0,0,0,0
1694709596.092557,-0.015,0.031,-0.001,-0.0018446461763232946,0,0,0,0
1694709596.1442406,-0.015,0.031,-0.001,-0.0018446461763232946,0,0,0,0
1694709596.196,-0.034999999999999996,0.019,0.003,0.004821907728910446,0,0,0,0
1694709596.2470722,-0.034999999999999996,0.019,0.003,0.004821907728910446,0,0,0,0
1694709596.2985923,-0.034999999999999996,0.019,0.003,0.021496955305337906,0,0,0,0
1694709596.3521433,-0.034999999999999996,0.019,0.003,0.021496955305337906,0,0,0,0
1694709596.4011645,-0.032,0.009,-0.005,0.0126670952886343,0,0,0,0
1694709596.452244,-0.032,0.009,-0.005,0.0126670952886343,0,0,0,0
1694709596.502862,-0.032,0.009,-0.005,-0.007004423998296261,0,0,0,0
1694709596.5543969,-0.032,0.009,-0.005,-0.007004423998296261,0,0,0,0
1694709596.6054206,-0.018,-0.008,-0.037,0.01822357438504696,0,0,0,0
1694709596.6561475,-0.018,-0.008,-0.037,0.01822357438504696,0,0,0,0
1694709596.7069035,-0.018,-0.008,-0.037,0.012304026633501053,0,0,0,0
1694709596.7577078,-0.018,-0.008,-0.037,0.012304026633501053,0,0,0,0
1694709596.8089707,-0.028999999999999998,-0.012,0.034,-0.005651791114360094,0,0,0,0
1694709596.8594747,-0.028999999999999998,-0.012,0.034,-0.005651791114360094,0,0,0,0
1694709596.9109972,-0.028999999999999998,-0.012,0.034,-0.010163180530071259,0,0,0,0
1694709596.9614923,-0.028999999999999998,-0.012,0.034,-0.010163180530071259,0,0,0,0
1694709597.0130088,-0.028999999999999998,-0.026000000000000002,0.011,-0.006904930807650089,0,0,0,0
1694709597.0637646,-0.028999999999999998,-0.026000000000000002,0.011,-0.006904930807650089,0,0,0,0
1694709597.1149685,-0.028999999999999998,-0.026000000000000002,0.011,-0.018190760165452957,0,0,0,0
1694709597.167521,-0.028999999999999998,-0.026000000000000002,0.011,-0.018190760165452957,0,0,0,0
1694709597.218038,-0.015,-0.014000000000000002,0.012,-0.008840413764119148,0,0,0,0
1694709597.2695882,-0.015,-0.014000000000000002,0.012,-0.008840413764119148,0,0,0,0
1694709597.3199193,-0.015,-0.014000000000000002,0.012,-0.008546605706214905,0,0,0,0
1694709597.3704312,-0.015,-0.014000000000000002,0.012,-0.008546605706214905,0,0,0,0
1694709597.4219344,0.019,-0.001,0.011,0.014230730012059212,0,0,0,0
1694709597.4725187,0.019,-0.001,0.011,0.014230730012059212,0,0,0,0
1694709597.5262754,0.019,-0.001,0.011,-0.011091754771769047,0,0,0,0
1694709597.577209,0.019,-0.001,0.011,-0.011091754771769047,0,0,0,0
1694709597.6275377,0.026000000000000002,-0.007000000000000001,0.006,0.009414390660822392,0,0,0,0
1694709597.677504,0.026000000000000002,-0.007000000000000001,0.006,0.009414390660822392,0,0,0,0
1694709597.7305973,0.026000000000000002,-0.007000000000000001,0.006,0.003659262787550688,0,0,0,0
1694709597.782286,0.026000000000000002,-0.007000000000000001,0.006,0.003659262787550688,0,0,0,0
1694709597.8338907,0.008,-0.006,0.019,-0.005557863973081112,0,0,0,0
1694709597.884535,0.008,-0.006,0.019,-0.005557863973081112,0,0,0,0
1694709597.9360216,0.008,-0.006,0.019,0.007348667364567518,0,0,0,0
1694709597.9862738,0.008,-0.006,0.019,0.007348667364567518,0,0,0,0
1694709598.0379887,-0.001,-0.012,-0.008,0.018771477043628693,0,0,0,0
1694709598.0403895,-0.001,-0.012,-0.008,0.018771477043628693,0,0,0,0
1694709598.139876,-0.001,-0.012,-0.008,0.010980229824781418,0,0,0,0
1694709598.1416976,-0.001,-0.012,-0.008,0.010980229824781418,0,0,0,0
1694709598.245574,0.0,-0.003,-0.02,-0.0011780993081629276,0,0,0,0
1694709598.2954688,0.0,-0.003,-0.02,-0.01338927261531353,0,0,0,0
1694709598.349342,0.0,-0.003,-0.02,-0.01338927261531353,0,0,0,0
1694709598.3974319,-0.007000000000000001,0.002,-0.011,-0.011838662438094616,0,0,0,0
1694709598.4486008,-0.007000000000000001,0.002,-0.011,-0.011838662438094616,0,0,0,0
1694709598.5005765,-0.007000000000000001,0.002,-0.011,-0.012821308337152004,0,0,0,0
1694709598.5514746,-0.007000000000000001,0.002,-0.011,-0.012821308337152004,0,0,0,0
1694709598.602404,0.002,0.004,-0.024,0.004405570682138205,0,0,0,0
1694709598.6528945,0.002,0.004,-0.024,0.004405570682138205,0,0,0,0
1694709598.703775,0.002,0.004,-0.024,-0.0027801571413874626,0,0,0,0
1694709598.7638211,0.002,0.004,-0.024,-0.0027801571413874626,0,0,0,0
