timestamp,X_vel,Y_vel,Z_vel,R_vel,X_pose,Y_pose,Z_pose
1702059081.1363342,0.014000000000000002,0.014000000000000002,-0.048,-0.014390893280506134,-5.635702610015869,-2.058417558670044,-0.3144218325614929
1702059081.1909165,0.014000000000000002,0.014000000000000002,-0.048,-0.02394120953977108,-5.635702610015869,-2.058417558670044,-0.3144218325614929
1702059081.2393086,0.014000000000000002,0.014000000000000002,-0.048,-0.02394120953977108,-5.635702610015869,-2.058417558670044,-0.3144218325614929
1702059081.2918372,0.007000000000000001,0.017,-0.027000000000000003,-0.015812307596206665,-5.63162088394165,-2.0577242374420166,-0.31984055042266846
1702059081.341433,0.007000000000000001,0.017,-0.027000000000000003,-0.015812307596206665,-5.63162088394165,-2.0577242374420166,-0.31984055042266846
1702059081.3971448,0.007000000000000001,0.017,-0.027000000000000003,0.0004902374930679798,-5.63162088394165,-2.0577242374420166,-0.31984055042266846
1702059081.4445221,0.007000000000000001,0.017,-0.027000000000000003,0.0004902374930679798,-5.63162088394165,-2.0577242374420166,-0.31984055042266846
1702059081.4965189,0.0,0.016,-0.02,-0.046874091029167175,-5.627967357635498,-2.057528257369995,-0.3237411677837372
1702059081.5468407,0.0,0.016,-0.02,-0.046874091029167175,-5.627967357635498,-2.057528257369995,-0.3237411677837372
1702059081.5994217,0.0,0.016,-0.02,-0.035728082060813904,-5.627967357635498,-2.057528257369995,-0.3237411677837372
1702059081.650299,0.0,0.016,-0.02,-0.035728082060813904,-5.627967357635498,-2.057528257369995,-0.3237411677837372
1702059081.704658,0.0,0.012,-0.002,-0.036555420607328415,-5.6276469230651855,-2.057176351547241,-0.3238617181777954
1702059081.7525454,0.0,0.012,-0.002,-0.036555420607328415,-5.6276469230651855,-2.057176351547241,-0.3238617181777954
1702059081.8041503,0.0,0.012,-0.002,0.025589771568775177,-5.6276469230651855,-2.057176351547241,-0.3238617181777954
1702059081.8050156,0.0,0.012,-0.002,0.025589771568775177,-5.6276469230651855,-2.057176351547241,-0.3238617181777954
1702059081.906888,-0.001,-0.02,0.019,-0.04131558537483215,-5.6269707679748535,-2.059093952178955,-0.32217979431152344
1702059081.9081886,-0.001,-0.02,0.019,-0.04131558537483215,-5.6269707679748535,-2.059093952178955,-0.32217979431152344
1702059082.0100217,-0.001,-0.02,0.019,-0.0415593758225441,-5.6269707679748535,-2.059093952178955,-0.32217979431152344
1702059082.062572,-0.006,0.003,-0.011,0.0135456882417202,-5.620755195617676,-2.0618810653686523,-0.3221200406551361
1702059082.1123796,-0.006,0.003,-0.011,0.0135456882417202,-5.620755195617676,-2.0618810653686523,-0.3221200406551361
1702059082.1645555,-0.006,0.003,-0.011,-0.013318968936800957,-5.620755195617676,-2.0618810653686523,-0.3221200406551361
1702059082.214276,-0.006,0.003,-0.011,-0.013318968936800957,-5.620755195617676,-2.0618810653686523,-0.3221200406551361
1702059082.2753372,0.0,-0.026000000000000002,0.02,0.0191139318048954,-5.620021343231201,-2.0642261505126953,-0.3196815550327301
1702059082.3175907,0.0,-0.026000000000000002,0.02,0.0191139318048954,-5.620021343231201,-2.0642261505126953,-0.3196815550327301
1702059082.368981,0.0,-0.026000000000000002,0.02,0.0227716863155365,-5.620021343231201,-2.0642261505126953,-0.3196815550327301
1702059082.4195893,0.0,-0.026000000000000002,0.02,0.0227716863155365,-5.620021343231201,-2.0642261505126953,-0.3196815550327301
1702059082.4706926,-0.005,0.028999999999999998,-0.016,-0.04865303635597229,-5.613037109375,-2.066540479660034,-0.3140682876110077
1702059082.5215855,-0.005,0.028999999999999998,-0.016,-0.04865303635597229,-5.613037109375,-2.066540479660034,-0.3140682876110077
1702059082.5769045,-0.005,0.028999999999999998,-0.016,-0.04866500198841095,-5.613037109375,-2.066540479660034,-0.3140682876110077
