Time,X_pose_uav,Y_pose_uav,Z_pose_uav,R_pose_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197615.6317434,-0.08194114772009942,-0.008086408276551911,-1.1213988936545507,0,0,0,0,0
1701197615.645298,-0.0839708986078231,-0.009866071306317219,-1.1105102938244595,0,0,0,0,0
1701197615.6587698,-0.08647084387753062,-0.013510776494472293,-1.1152844074565706,0,0,0,0,0
1701197615.6891034,-0.08899893902614883,-0.015022132606939107,-1.1285206282934095,0,0,0,0,0
1701197615.711904,-0.08996351717518694,-0.015766727978205382,-1.110449867410389,0,0,0,0,0
1701197615.7573357,-0.09251462204110325,-0.017058335697838965,-1.1104536729927879,0,0,0,0,0
1701197615.7895913,-0.0953923581298397,-0.01707361629014012,-1.1097563579392657,0,0,0,0,0
1701197615.8640728,-0.0972786325492186,-0.017105568532828592,-1.1094741824931147,0,0,0,0,0
1701197615.9089243,-0.10125897385144159,-0.01590906498340408,-1.1212701884904541,0,0,0,0,0
1701197615.9481668,-0.10382734140583622,-0.014594660399380212,-1.1210970053999516,0,0,0,0,0
1701197615.9680843,-0.10581837607992883,-0.013788630856762605,-1.1092232207404245,0,0,0,0,0
1701197615.9785817,-0.1092563365449977,-0.01469570340719711,-1.1167745678454373,0,0,0,0,0
1701197615.995491,-0.1124876432850193,-0.01607030023367966,-1.1170707961505544,0,0,0,0,0
1701197616.0214276,-0.11606686816919076,-0.01863678029711421,-1.1167416119702838,0,0,0,0,0
1701197616.0515587,-0.1184219698170126,-0.022764976932550654,-1.1104186082601901,0,0,0,0,0
1701197616.0900307,-0.12198131970181433,-0.026437486984720645,-1.115292323343725,0,0,0,0,0
1701197616.1317065,-0.12492040799518755,-0.02906222964520502,-1.115201448589867,0,0,0,0,0
1701197616.160756,-0.12749367318739166,-0.03166185259933815,-1.1153025223069646,0,0,0,0,0
1701197616.1950324,-0.130402392462971,-0.03490274573219425,-1.1161126981809844,0,0,0,0,0
1701197616.2299943,-0.1319542829155168,-0.037006610128682664,-1.117725522687411,0,0,0,0,0
1701197616.2623894,-0.13358461613428793,-0.03707799697898482,-1.111428747786939,0,0,0,0,0
1701197616.2943044,-0.1357936028116954,-0.0354988769155295,-1.1232025458659252,0,0,0,0,0
1701197616.3283274,-0.13620474604933036,-0.03232040538380934,-1.1151084413890677,0,0,0,0,0
1701197616.3622663,-0.13796536584767674,-0.029589550679080732,-1.1217471288183578,0,0,0,0,0
1701197616.3963096,-0.1382908484091518,-0.026904601781534476,-1.1222188375276505,0,0,0,0,0
1701197616.44609,-0.13923113094296008,-0.025654259092268268,-1.1214334879099745,0,0,0,0,0
1701197616.4662683,-0.14113262411453864,-0.026050578683921563,-1.126650418824051,0,0,0,0,0
1701197616.4927385,-0.14062012860360384,-0.02620967793665108,-1.1222896511558877,0,0,0,0,0
1701197616.526974,-0.14032691511898218,-0.027589947800573788,-1.122128882964953,0,0,0,0,0
1701197616.560031,-0.14053155938457962,-0.028271245559608162,-1.1215567305753458,0,0,0,0,0
1701197616.59024,-0.14123352650911122,-0.028014997462688866,-1.1300538556157005,0,0,0,0,0
1701197616.6511524,-0.1414032621783668,-0.029159049775803487,-1.1348928646181242,0,0,0,0,0
1701197616.6645617,-0.14169941445717818,-0.028567993724752508,-1.1378623765234184,0,0,0,0,0
1701197616.7067628,-0.14174577645340208,-0.025209458771373584,-1.134361685878027,0,0,0,0,0
1701197616.729461,-0.14056060673690973,-0.022783411025566986,-1.129775853656137,0,0,0,0,0
1701197616.7719502,-0.14193966111707337,-0.021424471160155303,-1.1455150008595945,0,0,0,0,0
1701197616.791005,-0.14033378828317913,-0.020615043944899377,-1.1334362024009335,0,0,0,0,0
1701197616.824785,-0.14098790986704846,-0.0192387070790313,-1.13336671818574,0,0,0,0,0
1701197616.8535528,-0.1399067783944171,-0.01844184578946757,-1.1362560540359943,0,0,0,0,0
1701197616.888254,-0.14098790986704846,-0.0192387070790313,-1.13336671818574,0,0,0,0,0
1701197616.9188695,-0.14098790986704846,-0.0192387070790313,-1.13336671818574,0,0,0,0,0
