Time,X Position,Y Position,Z Position,yaw
1693590837.8218877,0.03270895235522824,0.10718628153863842,-0.892275641933803,0.03270895235522824
1693590837.8551726,0.03275123247532515,0.10721806455222091,-0.8935106819780794,0.03275123247532515
1693590837.8874922,0.03302394236850827,0.10569791969866589,-0.891983820752433,0.03302394236850827
1693590837.9533167,0.03309359980741798,0.10400528000427725,-0.8905326056242405,0.03309359980741798
1693590838.0192025,0.03357772740567934,0.1050328628775859,-0.8896150015133175,0.03357772740567934
1693590838.054629,0.03412788122213976,0.10193285709907914,-0.8907280625583422,0.03412788122213976
1693590838.084601,0.0346404561587614,0.10036185466757154,-0.8907354347886703,0.0346404561587614
1693590838.1208105,0.034485872978804934,0.09984011705224115,-0.8905738733408893,0.034485872978804934
1693590838.1550498,0.03328303488938488,0.10029520882620292,-0.8874773641601178,0.03328303488938488
1693590838.2202623,0.03157433398410968,0.09776092669929579,-0.8885381815173753,0.03157433398410968
1693590838.25539,0.029804341130920797,0.09485663497096922,-0.8872825774959234,0.029804341130920797
1693590838.2870245,0.028781344471069708,0.0927695995747488,-0.8872918836724688,0.028781344471069708
1693590838.320127,0.027953580276904328,0.09247562604544346,-0.8905706205400196,0.027953580276904328
1693590838.351731,0.027731696322698892,0.09041141237134895,-0.8930315542689362,0.027731696322698892
1693590838.3879492,0.02721871703372966,0.08569907142771202,-0.8931318917529188,0.02721871703372966
1693590838.4210532,0.026184100767287756,0.08205772709889593,-0.8961212762096892,0.026184100767287756
1693590838.4535534,0.02558290181640026,0.08065423892228057,-0.8939189646981516,0.02558290181640026
1693590838.4867477,0.025771798450252445,0.08025519006725447,-0.9005066856099618,0.025771798450252445
1693590838.5194614,0.024448118737893917,0.07625096333450182,-0.8965453168893454,0.024448118737893917
1693590838.5697536,0.024007600334890963,0.07058973298080737,-0.9011334361834823,0.024007600334890963
1693590838.5892518,0.022650716313638755,0.06625382139459941,-0.8980984567380832,0.022650716313638755
1693590838.619737,0.022686391858455963,0.06378690962768097,-0.9086497389704626,0.022686391858455963
1693590838.6705701,0.021690019034114633,0.060647485201048845,-0.9070542671316569,0.021690019034114633
1693590838.688278,0.02304534118599158,0.05705983785024648,-0.9092112424196489,0.02304534118599158
1693590838.7884057,0.020311446215566322,0.05101966714896528,-0.9154258223050121,0.020311446215566322
1693590838.82431,0.020060563188157167,0.04985243830666246,-0.9178893325086331,0.020060563188157167
1693590838.8728344,0.021008608940130815,0.04718032722328256,-0.9226539389680073,0.021008608940130815
