time,Marker ID,Tx_landpad,Ty_landpad,Tz_landpad,Roll_landpad,Pitch_landpad,Yaw_landpad
1724949663529913171,682,-0.5654423092342966,-0.146168104315047,1.6177918072671729,96.68083350985422,-2.988015506100324,179.76108298170314
1724949663651830932,682,-0.5795399806721914,-0.1457572726893148,1.6461860225328593,94.30217497954816,-10.115019422503057,172.7909389616129
1724949667498231868,272,-0.02377462450412149,-0.33572540359715225,1.4531123412828648,78.31064048278395,9.65977812656652,-177.8459988553601
1724949667628982337,272,0.0012336711803967726,-0.27748901431640655,1.5186895357197343,78.68362252245947,2.052541285898377,178.32281240943712
1724949667782271868,272,0.015277366082492333,-0.20578730678863744,1.5786023459640424,81.58483173196316,-6.998624281499663,155.15838471763504
1724949667931296659,682,0.03236598304835241,-0.09400355511266113,1.5356272172099985,82.12663103913846,-4.635641683732994,161.52205382490226
1724949671807131085,682,-0.023939306452486427,0.11972568481157023,1.4712366278516293,81.35737636102368,8.974258127590845,160.87188036852024
1724949672562119887,682,-0.08057009298964299,0.12306092517789427,1.4694371444327992,81.69328478567199,6.6951834733250095,160.35125068511772
1724949672717107647,682,-0.11979227345648152,0.12313869791614873,1.4859847515661608,83.24963493172538,5.453131073288789,167.19374441713063
1724949672847021553,682,-0.14935294756432918,0.11889892280250836,1.4661462233275007,81.7586740980549,7.257268936946696,162.54249360711796
1724949672975698168,682,-0.1717326109554579,0.12314572568782317,1.4631890530912375,84.78686588383626,-16.522206815801397,-176.46512825822302
1724949673106962959,682,-0.20867024200978918,0.10536310445967839,1.4874186838732424,84.04787789596438,5.480639691534517,168.5835561521324
1724949673223352907,682,-0.2147861444984665,0.09361432565322042,1.477788699504718,84.506781638842,4.681841253163327,168.56073483686154
1724949673339270147,682,-0.21773904263713917,0.08067080988102669,1.4839439950747704,83.97988246823078,5.389899283492028,170.03095140881322
1724949673458892386,682,-0.207261496793634,0.07358719908705062,1.4684516870483393,86.40857377795737,-3.071987982200698,163.626442727662
1724949673581109730,682,-0.20568310494147168,0.06060442831483111,1.4608437730130786,84.00149733836201,5.031264160159302,164.07356567627966
1724949673694374053,682,-0.23850104954052045,0.05170155641202686,1.480230058471145,84.40345136368327,0.274636856579322,173.16528951639856
1724949673813553272,682,-0.25765359253041537,0.04652840959089711,1.4757729651945934,84.51214702311844,7.331523632171075,172.32577736711156
1724949673944827386,682,-0.254880685736919,0.03415578851168406,1.4582491017585995,87.46787379869913,-11.186951958082362,168.85952250482532
1724949674060779626,682,-0.2585224014979288,0.016903108729170717,1.4791201755954655,82.96669847872835,12.589998758445105,168.2088006617786
1724949674183476240,682,-0.26607510472402385,0.003653924827482967,1.4706969561015797,82.98582370102218,9.647954524146874,164.80792803097816
1724949674297690303,682,-0.2713056530060739,-0.0042960701647555555,1.4720736500013725,82.35506440979437,13.193642058481819,168.38803991260528
1724949674414607542,682,-0.2760992576794373,-0.015844272717545828,1.468209317285672,83.62788162045922,4.55348896464077,165.19059185937334
1724949674535126761,682,-0.2823673149733275,-0.022969789450086556,1.476212122552275,84.04186371255928,9.896193646977956,174.98424151973538
1724949674676504521,682,-0.27984170977296896,-0.025329359358671505,1.4617430647493754,84.397642269785,10.455392995234918,-179.8994439371362
1724949674786935198,682,-0.28035111552261105,-0.03255392391350534,1.4813842259282304,83.73514480899087,13.007345581103602,175.9952610208447
