timestamp,X_pose,Y_pose,Z_pose,R_pose
1703952951.9501252,0,0,0,0
1703952951.9799545,0,0,0,0
1703952952.0135875,0,0,0,0
1703952952.0465283,0,0,0,0
1703952952.0840943,0,0,0,0
1703952952.1152132,0,0,0,0
1703952952.1518502,0,0,0,0
1703952952.1841295,0,0,0,0
1703952952.2173548,0,0,0,0
1703952952.2483017,0,0,0,0
1703952952.28187,0,0,0,0
1703952952.3127697,0,0,0,0
1703952952.348011,0,0,0,0
1703952952.3809776,0,0,0,0
1703952952.4116907,0,0,0,0
1703952952.4469528,0,0,0,0
1703952952.4806223,0,0,0,0
1703952952.5159726,0,0,0,0
1703952952.5498314,0,0,0,0
1703952952.5835054,0,0,0,0
1703952952.615123,0,0,0,0
1703952952.649973,0,0,0,0
1703952952.6977153,0,0,0,0
1703952952.7122586,0,0,0,0
1703952952.7468472,0,0,0,0
1703952952.7808037,0,0,0,0
1703952952.8136644,0,0,0,0
1703952952.8474343,0,0,0,0
1703952952.8813426,0,0,0,0
1703952952.9146862,0,0,0,0
1703952952.949538,0,0,0,0
1703952952.9755204,0,0,0,0
1703952953.0190048,0,0,0,0
1703952953.0503752,0,0,0,0
1703952953.0834286,0,0,0,0
1703952953.1382456,0,0,0,0
1703952953.153023,0,0,0,0
1703952953.185188,0,0,0,0
1703952953.2144825,0,0,0,0
1703952953.2486014,0,0,0,0
1703952953.2937238,0,0,0,0
1703952953.3138144,0,0,0,0
1703952953.3485205,0,0,0,0
1703952953.3836734,0,0,0,0
1703952953.41432,0,0,0,0
1703952953.4474008,0,0,0,0
1703952953.492201,0,0,0,0
1703952953.5188582,0,0,0,0
1703952953.5539339,0,0,0,0
1703952953.5831716,0,0,0,0
1703952953.6168547,0,0,0,0
1703952953.6482768,0,0,0,0
1703952953.7018294,0,0,0,0
1703952953.7179453,0,0,0,0
1703952953.747451,0,0,0,0
1703952953.8050983,0,0,0,0
1703952953.8193784,0,0,0,0
1703952953.8469296,0,0,0,0
1703952953.8810058,0,0,0,0
1703952953.916798,0,0,0,0
1703952953.9472964,0,0,0,0
1703952953.982613,0,0,0,0
1703952954.0154054,0,0,0,0
1703952954.0477002,0,0,0,0
1703952954.0811138,0,0,0,0
1703952954.115661,0,0,0,0
1703952954.1474168,0,0,0,0
1703952954.1835032,0,0,0,0
1703952954.2145486,0,0,0,0
1703952954.247537,0,0,0,0
1703952954.2831843,0,0,0,0
1703952954.315832,0,0,0,0
1703952954.3475497,0,0,0,0
1703952954.3821237,0,0,0,0
1703952954.4361587,0,0,0,0
1703952954.4502409,0,0,0,0
1703952954.4815345,0,0,0,0
1703952954.5146453,0,0,0,0
1703952954.5487912,0,0,0,0
1703952954.5834138,0,0,0,0
1703952954.6173286,0,0,0,0
1703952954.6479561,0,0,0,0
1703952954.6855981,0,0,0,0
1703952954.7178075,0,0,0,0
1703952954.7471676,0,0,0,0
1703952954.7848432,0,0,0,0
1703952954.8161027,0,0,0,0
1703952954.8480947,0,0,0,0
1703952954.8806915,0,0,0,0
1703952954.9125223,0,0,0,0
1703952954.944805,0,0,0,0
1703952954.9813402,0,0,0,0
1703952955.003335,0,0,0,0
1703952955.0511634,0,0,0,0
1703952955.0834455,0,0,0,0
1703952955.1155093,0,0,0,0
1703952955.152013,0,0,0,0
1703952955.185131,0,0,0,0
1703952955.2183414,0,0,0,0
1703952955.2510893,0,0,0,0
1703952955.2830098,0,0,0,0
1703952955.3155947,0,0,0,0
1703952955.3505905,0,0,0,0
1703952955.3805075,0,0,0,0
1703952955.4157476,0,0,0,0
1703952955.4474769,0,0,0,0
1703952955.4839919,0,0,0,0
1703952955.5168264,0,0,0,0
1703952955.5516455,0,0,0,0
1703952955.582883,0,0,0,0
